Node,1,2,3,4
1,0.0038,0.048,0.2003,0.4174
2,0.0259,0.1505,0.388,0.6171
3,0.1477,0.4245,0.6657,0.8206
4,0.014,0.148,0.3957,0.6289
5,0.0045,0.0551,0.2247,0.4565
6,0.0012,0.0165,0.1018,0.2717
7,0,0.0012,0.0159,0.0729
8,0,0.0013,0.0159,0.0727
9,0.0004,0.0049,0.0458,0.16
10,0,0.0012,0.0144,0.0664
11,0,0.0047,0.0358,0.1332
12,0,0.0005,0.006,0.0349
13,0,0.0005,0.0063,0.0362
14,0,0.002,0.0175,0.0779
15,0,0.0017,0.0222,0.0971
16,0,0.0005,0.0077,0.0431
17,0,0.0004,0.0072,0.0408
18,0,0.002,0.0179,0.0805
19,0,0.0005,0.0078,0.0438
20,0,0.0008,0.0084,0.0445
21,0,0.0002,0.0022,0.015
22,0,0.0002,0.002,0.0136
23,0,0.0016,0.0189,0.0844
24,0,0.0005,0.0046,0.0253
25,0,0.0003,0.0025,0.0154
26,0,0.0008,0.0082,0.0413
27,0,0.0007,0.0083,0.044
28,0.0008,0.0141,0.0913,0.2496
29,0,0.0061,0.0447,0.1546
30,0.0003,0.0051,0.0476,0.1632
31,0,0.003,0.0208,0.0871
32,0.2378,0.502,0.7241,0.86
33,0.2134,0.5255,0.766,0.8965
34,0.0225,0.141,0.3683,0.5918
35,0,0.0005,0.0052,0.0288
36,0,0.0006,0.0051,0.0282
37,0,0.0003,0.0027,0.0165
38,0.0151,0.1905,0.4881,0.7328
39,0.095,0.4946,0.7778,0.9143
40,1,1,1,1
41,0.0979,0.5073,0.7906,0.9225
42,0.0165,0.201,0.5074,0.7515
43,0.0041,0.0724,0.2867,0.5509
44,0.0003,0,0.0155,0.0435
45,0.001,0.0201,0.1266,0.329
46,0,0.0015,0.0202,0.0903
47,0.0002,0.0059,0.0552,0.1879
48,0.0004,0.007,0.0641,0.211
49,0.0001,0.0019,0.0243,0.1049
50,0,0.0028,0.0264,0.1095
51,0,0.0007,0.0074,0.0405
52,0.0005,0.006,0.0553,0.1882
53,0.0006,0.0058,0.0453,0.1537
54,0,0.0017,0.0164,0.0716
55,0,0.0009,0.0094,0.046
56,0,0.0028,0.026,0.1017
57,0.0001,0.0028,0.0269,0.1114
58,0.0041,0.0706,0.2839,0.5491
59,0.0149,0.1707,0.4467,0.6891
60,0.0013,0.0212,0.1325,0.3413
61,0.0027,0.0321,0.1456,0.338
62,0.0032,0.0598,0.2445,0.4889
63,0.0013,0.0252,0.1521,0.3772
64,0.001,0.0158,0.0995,0.2687
65,0.0003,0.0104,0.0669,0.215
