Node,1,2,3,4
1,0.4604,0.6343,0.7364,0.8194
2,0.4468,0.6067,0.7193,0.8098
3,0.9145,0.9325,0.9523,0.968
4,0.8864,0.9093,0.9358,0.9568
5,0.5028,0.6901,0.7855,0.8595
6,0.3671,0.5848,0.6956,0.7873
7,0,0.4516,0.5436,0.64
8,0,0.3102,0.4399,0.5684
9,0.3136,0.6093,0.7105,0.7983
10,0,0.3291,0.4838,0.6215
11,0,0.3883,0.5873,0.7357
12,0,0.2559,0.4149,0.5186
13,0,0.2589,0.4185,0.5257
14,0,0.2926,0.4359,0.5689
15,0,0.4284,0.5676,0.6911
16,0,0.3661,0.4604,0.5647
17,0,0.3457,0.4463,0.5481
18,0,0.3342,0.5043,0.6491
19,0,0.3759,0.476,0.577
20,0,0.2407,0.3653,0.479
21,0,0.1605,0.2859,0.3788
22,0,0.1468,0.266,0.3545
23,0,0.4044,0.5124,0.6221
24,0,0.1654,0.2864,0.3868
25,0,0.1947,0.3102,0.4036
26,0,0.326,0.445,0.5416
27,0,0.3369,0.4395,0.541
28,0.4605,0.6267,0.7188,0.7674
29,0,0.436,0.5964,0.7086
30,0.4233,0.616,0.7092,0.7898
31,0,0.3504,0.5112,0.6211
32,0.6391,0.7021,0.7969,0.8692
33,0.9711,0.9792,0.987,0.9924
34,0.441,0.5465,0.6638,0.7622
35,0,0.2082,0.3368,0.438
36,0,0.1923,0.3278,0.429
37,0,0.2106,0.3461,0.4368
38,1,1,1,1
39,1,1,1,1
40,1,1,1,1
41,1,1,1,1
42,1,1,1,1
43,1,1,1,1
44,0.4711,0.6888,0.7761,0.8496
45,0.7992,0.8938,0.934,0.9616
46,0.5457,0.6202,0.6821,0.7511
47,0.6863,0.7363,0.803,0.865
48,0.6319,0.8049,0.8687,0.9164
49,0.3062,0.5836,0.6844,0.7756
50,0,0.4709,0.6015,0.7138
51,0,0.3948,0.4768,0.5697
52,0.355,0.6427,0.7447,0.8311
53,0.1188,0.6379,0.7153,0.8007
54,0,0.0442,0.5449,0.6424
55,0,0.5075,0.5671,0.6366
56,0,0.6271,0.6708,0.7381
57,0.3013,0.5928,0.68,0.7617
58,1,1,1,1
59,1,1,1,1
60,0.6863,0.8566,0.9143,0.9524
61,0.4372,0.7284,0.846,0.9184
62,0.8848,0.9273,0.9526,0.971
63,0.9481,0.9607,0.9713,0.9811
64,0.4461,0.6724,0.767,0.846
65,0.6447,0.7758,0.8203,0.8724
