Time,MFYD_2594_1947_AREA INTEGRAL,MFYD_2642_1947_AREA INTEGRAL,MFYD_2695_2000_AREA INTEGRAL,MFYD_1947_1715_AREA INTEGRAL,MFYD_2000_1773_AREA INTEGRAL,MFYD_1715_1068_AREA INTEGRAL,MFYD_1773_1121_AREA INTEGRAL,MFYD_1068_0390_AREA INTEGRAL,MFYD_1068_0438_AREA INTEGRAL,MFYD_1121_0491_AREA INTEGRAL,MFYD_3252_2753_AREA INTEGRAL,MFYD_3300_2806_AREA INTEGRAL,MFYD_3348_2870_AREA INTEGRAL,MFYD_3396_2923_AREA INTEGRAL,MFYD_3344_2976_AREA INTEGRAL,MFYD_3492_3040_AREA INTEGRAL,MFYD_2058_2154_AREA INTEGRAL,MFYD_2207_2870_AREA INTEGRAL,MFYD_2260_2870_AREA INTEGRAL,MFYD_2313_2923_AREA INTEGRAL,MFYD_2435_3678_AREA INTEGRAL,MFYD_2488_1836_AREA INTEGRAL,MFYD_2541_1899_AREA INTEGRAL,MFYD_1609_1836_AREA INTEGRAL,MFYD_1662_1899_AREA INTEGRAL,MFYD_1275_1179_AREA INTEGRAL,MFYD_1328_0676_AREA INTEGRAL,MFYD_1381_0676_AREA INTEGRAL,MFYD_1434_0729_AREA INTEGRAL,MFYD_1556_3774_AREA INTEGRAL,MFYD_0080_0549_AREA INTEGRAL,MFYD_0676_0193_AREA INTEGRAL,MFYD_0729_0241_AREA INTEGRAL,MFYD_0782_0294_AREA INTEGRAL,MFYD_0342_0856_AREA INTEGRAL,MFYD_0909_1609_AREA INTEGRAL,MFYD_0967_1662_AREA INTEGRAL,MFYD_1662_1020_AREA INTEGRAL,MFYD_3093_2488_AREA INTEGRAL,MFYD_3151_2541_AREA INTEGRAL,MFYD_3204_2541_AREA INTEGRAL,MFYD_2753_2058_AREA INTEGRAL,MFYD_2806_3540_AREA INTEGRAL,MFYD_2976_2366_AREA INTEGRAL,MFYD_3040_3678_AREA INTEGRAL,MFYD_2058_1179_AREA INTEGRAL,MFYD_3540_3609_AREA INTEGRAL,MFYD_0549_1179_AREA INTEGRAL,MFYD_0602_3609_AREA INTEGRAL,MFYD_2366_1487_AREA INTEGRAL,MFYD_3678_3774_AREA INTEGRAL,MFYD_1487_0782_AREA INTEGRAL,MFYD_3774_0856_AREA INTEGRAL,MFYD_1947_2000_AREA INTEGRAL,MFYD_2000_2058_AREA INTEGRAL,MFYD_2058_3540_AREA INTEGRAL,MFYD_1068_1121_AREA INTEGRAL,MFYD_1121_1179_AREA INTEGRAL,MFYD_1179_3609_AREA INTEGRAL,MFYD_2753_2806_AREA INTEGRAL,MFYD_2806_2870_AREA INTEGRAL,MFYD_2870_2923_AREA INTEGRAL,MFYD_2923_2976_AREA INTEGRAL,MFYD_2976_3040_AREA INTEGRAL,MFYD_2366_3678_AREA INTEGRAL,MFYD_1487_3774_AREA INTEGRAL,MFYD_0549_0602_AREA INTEGRAL,MFYD_0602_0676_AREA INTEGRAL,MFYD_0676_0729_AREA INTEGRAL,MFYD_0729_0782_AREA INTEGRAL,MFYD_0782_0856_AREA INTEGRAL,MFYD_3678_2488_AREA INTEGRAL,MFYD_2488_2541_AREA INTEGRAL,MFYD_3774_1609_AREA INTEGRAL,MFYD_1609_1662_AREA INTEGRAL
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0290144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.2888204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.1234276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.1333023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0936981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.0924351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.0637645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.0762274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0752233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.061382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.148073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.110571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.112091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.147049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.108082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.10818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.127091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.00685E-06,1.02804E-06,0,0,0,0,0,0,0,0,0,0,0,0,0
18.048298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.45512E-06,1.38271E-06,0,0,0,0,0,0,0,0,0,0,0,0,0
19.048338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73112E-06,1.75783E-06,0,0,0,0,0,0,0,0,0,0,0,0,0
20.00023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.95507E-06,2.50725E-06,0,0,0,0,0,0,0,0,0,0,0,0,0
21.13221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.88642E-06,3.28923E-06,0,0,0,0,0,0,0,0,0,0,0,0,0
22.012209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.64512E-06,3.49238E-06,0,0,0,0,0,0,0,0,0,0,0,0,0
23.03973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.00201E-06,4.82981E-06,0,0,0,0,0,0,0,0,0,0,0,0,0
24.118772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.10022E-06,5.56384E-06,0,0,0,0,0,0,0,0,0,0,0,0,0
25.07792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.66467E-06,6.64535E-06,0,0,0,0,0,0,0,0,0,0,0,0,0
26.0011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.8123E-06,7.92471E-06,0,0,0,0,0,0,0,0,0,0,0,0,0
27.063077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.19588E-06,7.70282E-06,0,0,0,0,0,0,0,0,0,0,0,0,0
28.107624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.78371E-06,9.71495E-06,0,0,0,0,0,0,0,0,0,0,0,0,0
29.00055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.00374E-05,1.32986E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
30.089029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.06307E-05,1.30117E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
31.01415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.26004E-05,1.2046E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
32.037537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.37273E-05,1.45622E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
33.051746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.37699E-05,1.7353E-05,1.15535E-06,0,0,0,0,0,0,0,0,0,0,0,0
34.063879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.61013E-06,-1.75887E-05,1.68432E-05,2.17585E-06,0,0,0,0,0,0,0,0,0,0,0,0
35.107642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.15726E-06,-2.15233E-05,1.93683E-05,3.36695E-06,0,0,0,0,0,0,0,0,0,0,0,0
36.035431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1165E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.74713E-06,-2.02358E-05,2.26658E-05,4.71878E-06,0,0,0,0,0,0,0,0,0,0,0,0
37.079193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.40711E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.85699E-06,-2.01745E-05,2.24686E-05,6.57238E-06,0,0,0,0,0,0,0,0,0,0,0,0
38.034958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.82399E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.65766E-06,-2.49604E-05,2.27523E-05,8.508E-06,0,0,0,0,0,0,0,0,0,0,0,0
39.098685,0,0,0,0,0,0,0,0,0,0,0,0,1.02705E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.4166E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.54013E-06,-2.64856E-05,2.70672E-05,9.73948E-06,0,0,0,0,0,0,0,0,0,0,0,0
40.101627,0,0,0,0,0,0,0,0,0,0,0,0,1.1209E-06,1.02986E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.02041E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.40678E-06,-2.67807E-05,2.66915E-05,1.07862E-05,0,0,0,0,0,0,0,0,0,0,0,0
41.045393,0,0,0,0,0,0,0,0,0,0,0,0,1.12557E-06,1.16079E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.50604E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.18629E-06,-2.98513E-05,3.2701E-05,1.20857E-05,0,0,0,0,0,0,0,0,0,0,0,0
42.021501,0,0,0,0,0,0,0,0,0,0,0,0,1.19125E-06,1.21118E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.01555E-06,0,0,0,0,0,0,0,0,0,0,0,0,-1.17705E-06,0,0,0,-1.05249E-05,-2.96726E-05,3.4289E-05,1.30271E-05,0,0,0,0,0,0,0,0,0,0,0,0
43.007568,0,0,0,0,0,0,0,0,0,0,0,0,1.33947E-06,1.25419E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1727E-06,-4.51288E-06,0,0,0,0,0,0,0,0,0,0,0,0,-1.68309E-06,0,0,0,-1.27634E-05,-3.33642E-05,3.14957E-05,1.41805E-05,0,0,0,0,0,0,0,0,0,0,0,0
44.103199,0,0,0,0,0,0,0,0,0,0,0,0,1.44318E-06,1.38375E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.45591E-06,-4.94728E-06,0,0,0,0,0,0,0,0,0,0,0,0,-2.10072E-06,0,0,0,-1.44187E-05,-3.79193E-05,3.65591E-05,1.67338E-05,0,0,0,0,0,0,0,0,0,0,0,0
45.089266,0,0,0,0,0,0,0,0,0,0,0,0,1.46192E-06,1.47008E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.80264E-06,-5.37338E-06,0,0,0,0,0,0,0,0,0,0,0,0,-2.39852E-06,0,0,0,-1.52439E-05,-3.64502E-05,3.86871E-05,1.88543E-05,0,0,0,0,0,0,0,0,0,0,0,0
