Node,1,2,3,4
1,0,0,0,0.033
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0.018
10,0,0,0,0.017
11,0,0,0.157,0.448
12,0,0,0,0.01
13,0,0,0,0.008
14,0,0,0.116,0.335
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,12.22,19.764,24.655,27.618
24,0,0,0.183,0.595
25,0,0,0,0.032
26,0,0,0,0
27,0,0,0,0
28,0,0,0.109,0.302
29,0,0.999,2.221,3.397
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0.215,0.598
36,0,0,0.206,0.587
37,0,0,0,0.023
38,0,0,0.132,0.326
39,0,0,0,0.117
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0.017
45,0,0,0.157,0.38
46,0,0,0.115,0.306
47,0,1.108,2.149,2.74
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,62.834,39.53,24.65,15.543
53,12.19,15.999,16.381,15.373
54,0,2.11,4.201,5.486
55,0,0,0.207,0.561
56,0,0,0,0.023
57,0,0,0,0
58,0,1.39,2.543,3.277
59,0,0,0.503,1.356
60,12.756,16.061,15.183,12.678
61,0,3.039,5.917,7.796
62,0,0,0,0
63,0,0,0,0
64,0,0,0,0
65,0,0,0,0
