Node,1,2,3,4
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0.526
24,0,4.939,9.63,13.027
25,0,0,1.347,3.369
26,0,0,0,0.206
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,6.021,11.628,15.646
36,44.585,19.925,8.797,3.858
37,0,0,1.143,2.928
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,1.963,3.782
53,0,8.434,12.497,12.401
54,55.415,52.521,37.538,23.889
55,0,8.16,12.055,11.688
56,0,0,1.412,2.841
57,0,0,0,0.252
58,0,0,0,0
59,0,0,0,0.433
60,0,0,0,0.821
61,0,0,1.99,4.116
62,0,0,0,0
63,0,0,0,0
64,0,0,0,0.217
65,0,0,0,0
