,100s,200s,300s,400s
Node 1,0.000101797,0.002454191,0.010351071,0.024496579
Node 2,0.000106921,0.002493571,0.011288594,0.026457451
Node 3,0.000459514,3.43E-03,0.009951781,0.019653491
Node 4,0.000291573,2.96E-03,0.010411213,0.021262573
Node 5,4.3696E-05,0.001599752,0.008072119,0.021371449
Node 6,5.68483E-05,0.001783613,0.00777965,0.020030184
Node 7,0,2.14E-03,0.008658962,0.021840951
Node 8,4.19654E-06,1.13E-03,0.005572297,0.01592583
Node 9,1.16106E-05,9.97E-04,0.005191758,0.014741907
Node 10,4.18427E-06,0.001022467,0.006762778,0.020365251
Node 11,4.79699E-06,0.000835091,0.006013352,0.019299484
Node 12,1.31254E-55,0.000480138,0.004714962,0.014581126
Node 13,0,0.000117619,0.002749258,0.010638684
Node 14,0,8.53575E-05,0.002568171,0.010532656
Node 15,2.34635E-06,7.22E-04,0.004482585,0.012926225
Node 16,0,0.00090191,0.005340122,0.014597574
Node 17,0,0.001899683,0.008034056,0.020327877
Node 18,8.18781E-06,0.000676722,0.005817948,0.017508437
Node 19,6.00958E-06,0.000720709,0.006105573,0.018658741
Node 20,0,5.44778E-05,0.002051152,0.009791552
Node 21,0,7.07892E-05,0.002446493,0.010244323
Node 22,0,0.000259614,0.004112419,0.01301926
Node 23,0,0.000999126,0.007118316,0.022964073
Node 24,0,0.000320338,0.004420564,0.017553728
Node 25,0.00E+00,0.000465681,0.006391411,0.020060085
Node 26,0.00E+00,0.000636411,0.006363831,0.019198395
Node 27,0,0.001413091,0.00770918,0.021919754
Node 28,0.000230204,0.003032423,0.008088121,0.016933654
Node 29,0.00E+00,0.000587664,0.004156713,0.011250018
Node 30,0.000128504,0.002536006,0.007581378,0.016666762
Node 31,0.00E+00,0.000422851,0.003812629,0.010659016
Node 32,0.000553147,5.75E-03,0.018676533,0.028769532
Node 33,0.000535968,5.23E-03,0.016421351,0.025019708
Node 34,0.000160512,2.75E-03,0.011585027,0.026909762
Node 35,0.00E+00,0.00045719,0.005276447,0.017566787
Node 36,0,0.0004277,0.005314574,0.017075068
Node 37,0.00E+00,0.000369166,0.005841137,0.01890116
Node 38,0.001738103,0.007148217,0.014870244,0.028145593
Node 39,0.001958817,0.006860383,0.014934084,0.025838741
Node 40,0.003391944,0.009288267,0.017655014,0.024988019
Node 41,0.001842659,0.005959572,0.011005496,0.020806734
Node 42,0.001471245,0.005513511,0.011582242,0.02351694
Node 43,0.001350305,0.00597643,0.011904875,0.023053396
Node 44,0.000331962,0.004076067,0.011238125,0.026472462
Node 45,0.000472486,0.003447104,0.00941045,0.0217435
Node 46,0,0.001919076,0.007012793,0.018871038
Node 47,2.61E-05,0.001458689,0.006110861,0.016341161
Node 48,0.000417339,0.003079532,0.008321411,0.01986661
Node 49,0.000175198,0.003718423,0.010625781,0.024060775
Node 50,1.30661E-06,0.001232345,0.0055161,0.015146305
Node 51,0,0.00143765,0.006404062,0.017232006
Node 52,0.000143761,0.003535386,0.010217426,0.023550729
Node 53,2.98134E-05,0.003633659,0.010612091,0.023950275
Node 54,0,0.002364378,0.008490798,0.020631756
Node 55,0,0.002360473,0.008620201,0.020716147
Node 56,1.11032E-07,0.002976886,0.009491079,0.02183424
Node 57,1.23673E-05,0.00300601,0.009252729,0.02098598
Node 58,0.001143022,0.005156571,0.012327802,0.026092517
Node 59,5.60E-04,0.003677983,0.009046809,0.019186866
Node 60,0.000320748,0.003173265,0.009072803,0.021501418
Node 61,0.000219035,0.003518333,0.008936753,0.019247775
Node 62,0.000375698,0.003032558,0.008303531,0.018451703
Node 63,0.000967484,0.004799201,0.010584293,0.022710807
Node 64,7.99E-05,0.002814957,0.008037546,0.017953535
Node 65,2.11E-04,0.002716129,0.008292558,0.019580021
