,100s,200s,300s,400s
Node 1,0.000312541,0.003880184,0.01003559,0.020542738
Node 2,6.47995E-06,0.001124018,0.006548977,0.01865144
Node 3,0,1.23E-04,0.002346482,0.010265077
Node 4,0,1.14E-04,0.002350878,0.010706048
Node 5,0,9.74E-05,0.003375174,0.01364026
Node 6,0,9.16E-05,0.002909144,0.012557124
Node 7,0,6.19E-04,0.004687238,0.013665431
Node 8,0,2.20E-04,0.002775931,0.010002442
Node 9,1.85641E-07,1.60E-04,0.002440887,0.009403733
Node 10,7.90074E-07,7.27E-04,0.005893633,0.017236715
Node 11,1.49788E-06,6.33E-04,0.005298665,0.015731653
Node 12,4.13147E-06,0.001338045,0.007162502,0.018465716
Node 13,1.89401E-06,5.55E-04,0.004076817,0.012170389
Node 14,8.28665E-06,7.38E-04,0.004666254,0.012996226
Node 15,0,1.39E-06,0.000849935,0.006055111
Node 16,0,0,0.000655591,0.005924856
Node 17,0,0,0.001580667,0.008230403
Node 18,0,3.10E-05,0.00179883,0.009020971
Node 19,0,3.30E-05,0.001600479,0.008761751
Node 20,0,4.97E-05,0.001200396,0.006008823
Node 21,0,5.02E-05,0.00133816,0.006524787
Node 22,0,0.000156046,0.002688587,0.009564377
Node 23,4.18896E-05,0.000865441,0.005909596,0.016967687
Node 24,6.53E-06,0.00047174,0.003542679,0.011094175
Node 25,4.22E-06,0.000450246,0.003569083,0.012469488
Node 26,2.79E-06,0.000391704,0.003211339,0.010869934
Node 27,0,0.000717487,0.005701668,0.017446297
Node 28,3.34202E-06,6.90E-04,0.003678303,0.009211949
Node 29,5.49E-05,0.000944566,0.00358137,0.008657685
Node 30,0,7.32E-05,0.002376395,0.008483661
Node 31,7.31E-08,0.000461253,0.00315284,0.008582575
Node 32,0,3.77E-04,0.003605899,0.012754053
Node 33,0,2.19E-04,0.002687971,0.010064997
Node 34,0,1.03E-04,0.002562892,0.011099117
Node 35,1.00E-05,0.000577633,0.003899679,0.011726331
Node 36,6.8287E-06,0.000474473,0.003291281,0.010258253
Node 37,2.31E-06,0.000339287,0.00276374,0.010042905
Node 38,0.000312541,0.003880184,0.01003559,0.020542738
Node 39,0.000109709,0.003069792,0.008819603,0.019305558
Node 40,3.47003E-06,0.001594473,0.005962944,0.014442443
Node 41,0,0.001132947,0.005736032,0.014105359
Node 42,0,0.001002084,0.006469858,0.016318209
Node 43,0,0.000967028,0.006282216,0.015652412
Node 44,1.22567E-05,1.81E-03,0.006839218,0.0169313
Node 45,7.35629E-05,0.001561094,0.005761882,0.014152669
Node 46,0.000120012,0.003109943,0.00985119,0.022099947
Node 47,2.38E-04,0.002901018,0.00870639,0.019253151
Node 48,0,0.000220641,0.003342313,0.010454735
Node 49,0,4.56E-05,0.003512638,0.011540056
Node 50,0,0.000770125,0.003859707,0.01085217
Node 51,0,0.000762319,0.004512257,0.012534185
Node 52,1.45E-03,0.007128393,0.014560793,0.024597758
Node 53,0.000487456,0.003530488,0.009015595,0.017550803
Node 54,0.00028995,0.002704329,0.007144461,0.014813299
Node 55,0.000197294,0.002517348,0.006983083,0.014997322
Node 56,1.11E-04,0.002248444,0.007082734,0.015858765
Node 57,3.59E-05,0.002428213,0.00758486,0.016459809
Node 58,0.000340701,0.003542045,0.009534562,0.019941162
Node 59,1.37E-04,0.002823654,0.008124884,0.016706471
Node 60,5.80E-04,0.004061887,0.009987978,0.01979677
Node 61,3.09E-04,0.002772204,0.007653076,0.015093958
Node 62,0,0.000586189,0.004781368,0.012872895
Node 63,0,0.000827579,0.005776618,0.01469788
Node 64,1.02E-05,0.00076983,0.004419261,0.011691577
Node 65,9.49E-06,0.001396832,0.00559021,0.013516566
