,100s,200s,300s,400s
Node 1,1.49423E-05,0.000918784,0.006005453,0.017247937
Node 2,6.47995E-06,0.001124018,0.006548977,0.01865144
Node 3,9.26366E-05,1.71E-03,0.006439431,0.014629946
Node 4,6.21983E-05,1.32E-03,0.006345823,0.015792937
Node 5,7.72846E-06,5.31E-04,0.004323818,0.014387015
Node 6,5.57759E-06,6.49E-04,0.004386763,0.013417848
Node 7,0,7.54E-04,0.004960971,0.014425636
Node 8,1.95416E-07,3.27E-04,0.00305162,0.010132402
Node 9,6.85929E-07,3.11E-04,0.00277264,0.009484639
Node 10,5.00023E-07,2.86E-04,0.003441598,0.012769998
Node 11,8.26413E-07,2.17E-04,0.002993247,0.011957061
Node 12,1.60138E-57,6.57425E-05,0.00218754,0.009050643
Node 13,0,1.60E-05,0.001102425,0.006233259
Node 14,0,1.65E-05,0.000960067,0.005910804
Node 15,5.98554E-08,2.09E-04,0.002284181,0.008230292
Node 16,0,0.000255806,0.002772222,0.009338291
Node 17,0,0.00061685,0.004677191,0.013502927
Node 18,1.01736E-06,1.73E-04,0.002834832,0.010908965
Node 19,5.2438E-07,2.01E-04,0.002951895,0.011648229
Node 20,0,9.92E-06,0.000732055,0.005406377
Node 21,0,9.22E-06,0.000907165,0.005867835
Node 22,0,2.71481E-05,0.00182924,0.008149414
Node 23,0,0.000288216,0.003482045,0.014053553
Node 24,0.00E+00,4.54503E-05,0.001829312,0.010062067
Node 25,0.00E+00,6.30304E-05,0.002857417,0.012648902
Node 26,0.00E+00,0.000124357,0.00301962,0.012002303
Node 27,0,0.000428931,0.00414279,0.01401682
Node 28,2.99383E-05,1.39E-03,0.005343909,0.012104454
Node 29,0.00E+00,0.000145614,0.002144859,0.007287027
Node 30,1.39822E-05,1.09E-03,0.004834919,0.011656826
Node 31,0.00E+00,8.49643E-05,0.001877914,0.006914398
Node 32,0.000108029,3.00E-03,0.01070515,0.023368326
Node 33,0.00011186,2.60E-03,0.010577505,0.020486254
Node 34,2.64347E-05,1.12E-03,0.006625529,0.018577142
Node 35,0.00E+00,6.85813E-05,0.002357737,0.01081721
Node 36,0,5.7209E-05,0.002335929,0.010458946
Node 37,0.00E+00,4.87275E-05,0.002602886,0.011941147
Node 38,0.000443916,0.00409648,0.010487606,0.021537151
Node 39,0.00059827,0.004157802,0.010443843,0.020036508
Node 40,0.001247955,0.00631698,0.013678377,0.021120834
Node 41,0.000593847,0.003678281,0.008782976,0.016493158
Node 42,0.000395116,0.003338051,0.008538775,0.017296284
Node 43,0.0002985,0.003437101,0.008782099,0.017576465
Node 44,3.29794E-05,2.11E-03,0.007493113,0.018336172
Node 45,9.32598E-05,0.001794844,0.00618822,0.015390623
Node 46,0,0.000530358,0.004057798,0.012167263
Node 47,1.28E-06,0.000603827,0.003542956,0.010677735
Node 48,6.35505E-05,0.001509941,0.005492753,0.013651985
Node 49,1.04046E-05,1.74E-03,0.006832012,0.016758404
Node 50,1.99372E-08,0.000482072,0.003152754,0.009811938
Node 51,0,0.000343299,0.003589798,0.011097239
Node 52,7.92E-06,0.001655409,0.006593007,0.016282354
Node 53,1.05837E-06,0.001487095,0.006662441,0.016336173
Node 54,0,0.000745281,0.005073558,0.013973234
Node 55,0,0.000667955,0.005155407,0.013916927
Node 56,1.10E-09,0.001070629,0.00590831,0.014858197
Node 57,2.38E-07,0.001300785,0.005829011,0.014375373
Node 58,0.000264545,0.003041488,0.008465671,0.018690429
Node 59,1.22E-04,0.001908798,0.006227426,0.013561865
Node 60,4.28E-05,0.001572652,0.005882143,0.014645986
Node 61,2.84E-05,0.001567995,0.006051274,0.01366077
Node 62,7.10386E-05,0.001529129,0.005619236,0.013032225
Node 63,0.000173933,0.002619975,0.007383728,0.016534184
Node 64,7.63E-06,0.001116746,0.00524514,0.012423323
Node 65,1.43E-05,0.001298085,0.005189023,0.013312056
